English,Україньска,Русский,Notes
dog,соба́ка,соба́ка,
horse,кінь,ло́шадь,
fish,риба,ры́ба,
bird,птах,пти́ца,
horse,кінь,конь,
wild animal,звір,зверь,
cat,кіт,кот,
goose,гусак,гусь,
puppy,щеня,щено́к,
cat,кішка,ко́шка,
fly,му́ха,му́ха,
paw,ла́па,ла́па,
"muzzle, snout, face",мо́рда,мо́рда,
wolf,вовк,волк,
dog,пес,пёс,
"monkey, ape",мавпа,обезья́на,
bear,ведмідь,медве́дь,
cow,коро́ва,коро́ва,
lion,лев,лев,
hare,заєць,за́яц,
rabbit,кро́лик,кро́лик,
mouse,мишка,мы́шка,
goat (male),козел,козёл,
goat (female),коза,коза́,
elephant,слон,слон,
reptile,гад,гад,
eagle,орел,орёл,
"cock, rooster",півень,пету́х,
boa constrictor,уда́в,уда́в,
"bull, ox",бик,бык,
mouse,миша,мышь,
creature,тварь,тварь,
sparrow,горобець,воробе́й,
hoof,копито,копы́то,
dragon,драко́н,драко́н,
rat,щур,кры́са,
"ram, sheep",бара́н,бара́н,
donkey,віслюк,осёл,
"gnat, mosquito",кома́р,кома́р,
"snake, serpent",змія,змея́,
