English,Україньска,Русский,Notes
Bark,Кора,кора,
Birch,Береза,береза,
Branch,Гілка,ветка,
Bud,Брунька,почка,
Cedar,Кедр,кедр,
Chestnut,Каштан,каштан,
Cone,Шишка,шишка,
Cypress,Кипарис,Кипарис,
Elm,В'яз,вяз,
Fir,Ялиця,пихта,
Forest,Ліс,лес,
Leaf,Листок,листок,
Linden,Липа,липа,
Maple,Клен,клен,
Oak,Дуб,дуб,
Palm,Пальма,Пальма,
Pine,Сосна,сосна,
Poplar,Тополя,тополь,
Resin,Смоли,смолы,
Root,Корінь,корень,
Stump,Пеньок,пенек,
Trunk,Стовбур,ствол,
Twig,Гілочка,веточка,
Walnut,Горіх волоський,орех грецкий,
Willow,Верба,верба,
Wood,Деревина,древесина,
