English,Україньска,Русский,Notes
"man, person",людина,челове́к,
friend,друг,друг,
woman,жінка,же́нщина,
"child, infant",дитина,ребёнок,
father,"батько
",оте́ц,
 friend,товариш,това́рищ,
wife,дружина,жена́,
mother,матір,мать,
"mummy, mama",ма́ма,ма́ма,
"son, child",син,сын,
girl,дівчина,де́вушка,
brother,брат,брат,
"boy, fellow",хлопець,па́рень,
"man, male",чоловік,мужчи́на,
family,родина,семья́,
"husband, man",чоловік,муж,
uncle,дядько,дя́дя,
"boy, apprentice",хлопчик,ма́льчик,
little girl,дівчинка,де́вочка,
"gentleman, the master",пан,господи́н,
"man, bumpkin",мужи́к,мужи́к,
"family, gender",рід,род,
old man,старий,стари́к,
parent,батько,роди́тель,
"grandfather, old man",дід,дед,
daughter,дочка,дочь,
"sister, nurse",сестра́,сестра́,
"old woman, grandma",ба́ба,ба́ба,
"lady, queen",да́ма,да́ма,
dad,батько,па́па,
grandmother,ба́буся,ба́бушка,
aunt,тітка,тётя,
old woman,стара,стару́ха,
"boy, urchin",хлопчисько,мальчи́шка,
"visitor, guest",гість,гость,
"pair, couple",па́ра,па́ра,
family name,прізвище,фами́лия,
member,член,член,
"name, title",назва,назва́ние,
"being, creature",істота,существо́,
personality,особистість,ли́чность,
"humanity, mankind",людство,челове́чество,
relation,родич,ро́дственник,
friend,прия́тель,прия́тель,
grandfather,дідусь,де́душка,
"proprientress, hostess",господиня,хозя́йка,
corpse,труп,труп,
grandmother,ба́бка,ба́бка,
participant,учасник,уча́стник,
"playmate, school-friend",подру́га,подру́га,
young girl,дівчисько,девчо́нка,
daughter,дочка,до́чка,
unmarried woman,дівиця,деви́ца,
"fine fellow, fine girl",молоде́ць,молоде́ц,
youth,юнак,ю́ноша,
small child,малюк,малы́ш,
 young person,молодь,молодёжь,
youth,молодість,мо́лодость,
American,американець,америка́нец,
old lady,старенька,стару́шка,
aunt,тітка,тётка,
grandson,онук,внук,
girl,дівка,де́вка,
husband,чоловік,супру́г,
idiot,ідіот,идио́т,
fiancee,наречена,неве́ста,
fool,ду́ра,ду́ра,
beautiful woman,красуня,краса́вица,
coward,боягуз,трус,
foreigner,іноземець,иностра́нец,
mister,містер,ми́стер,
witch,відьма,ве́дьма,
visitor,відвідувач,посети́тель,
tourist,тури́ст,тури́ст,
little old man,дідок,старичо́к,
public figure,діяч,де́ятель,
"amateur, dilettante",любитель,люби́тель,
Chechen,чече́нець,чече́нец,
"juvenile, teenager",підліток,подро́сток,
"ancestor, forefather",пре́док,пре́док,
pal,дружо́к,дружо́к,
"youth, young people",юність,ю́ность,
"newcomer, stranger",прибулець,прише́лец,
son,синок,сыно́к,
mother-in-law,теща,тёща,
brother,братик,бра́тец,
invalid,інвалід,инвали́д,
Cossack,козак,каза́к,
the deceased,небіжчик,поко́йник,
"Frenchman, the French",францу́з,францу́з,
"Japanese, the Japanese",япо́нец,япо́нец,
" Miss, Madame",пані,госпожа́,
father,батюшка,ба́тюшка,
"boy, lad",паца́н,паца́н,
"baby, infant",немовля,младе́нец,
"species, kind, sort",порода,поро́да,
my dear fellow,голубчику,голу́бчик,
 nickname,кличка,кли́чка,
"descendant, offspring",нащадок,пото́мок,
