English,Україньска,Русский,Notes
"hand, arm",рука́,рука́,
eye,очей,глаз,
head,голова́,голова́,
"foot, leg",нога́,нога́,
face,обличчя,лицо́,
"shoulder, upper arm",плече,плечо́,
"finger, toe",палець,па́лец,
back,спина́,спина́,
body,тіло,те́ло,
heart,серце,се́рдце,
blood,кров,кровь,
ear,вухо,у́хо,
nose,ніс,нос,
tooth,зуб,зуб,
hair,волосся,во́лос,
"mind, intellect",розум,ум,
"knee, elbow, joint",коліно,коле́но,
elbow,лікоть,локоть,
neck,шия,ше́я,
palm,долоня,ладо́нь,
"forehead, brow",лоб,лоб,
"skin, leather",шкіра,ко́жа,
organ,о́рган,о́рган,
brain,мозок,мозг,
cheek,щока,щека́,
mouth,рот,рот,
fist,кула́к,кула́к,
stomach,живіт,живо́т,
"throat, neck",горло,го́рло,
organism,організм,органи́зм,
bone,кістка,кость,
wing,крило,крыло́,
"eyebrow, brow",брову,бровь,
"body, torso",ко́рпус,ко́рпус,
elbow,лікоть,ло́коть,
moustache,вус,ус,
beard,борода́,борода́,
back of the head,потилицю,заты́лок,
perspiration,піт,пот,
nerve,нерв,нерв,
chin,підборіддя,подборо́док,
stomach,шлунок,желу́док,
leg,ніжка,но́жка,
"finger-nail, toe-nail",ніготь,но́готь,
jaw,щелепу,че́люсть,
muscle,"м’яз, мускул",мы́шца,
physiognomy,фізіономія,физионо́мия,
skull,че́реп,че́реп,
vein,ве́на,ве́на,
bladder,міхур,пузы́рь,
hip,стегно,бедро́,
"hair, wool",вовна,шерсть,
eyelash,вія,ресни́ца,
heel,"каблу́к, п’ята",каблу́к,
intestine,кишка́,кишка́,
"spine, spinal column",хребет,хребе́т,
rib,ребро́,ребро́,
eyelid,повіку,ве́ко,
liver,печінку,пе́чень,
belly,черево,брю́хо,
"semen, sperm",насіння,се́мя,
flesh,плоть,плоть,
abdomen,живіт/черево,живот / брюхо,
ankle,кісточка,косточка,
chest/breast,груди,грудь,
upper back,спина,спина,
lower back,крижі,крестец,
skeleton,скелет/кістяк,скелет / костяк,
tear,сльоза,слеза,
wrist,зап'ясток,запястье,
