English,Україньска,Русский,Notes
Alcohol,Алкогольні напої,алкогольные напитки,
Ayran,Айра́н,айран,
Beer,Пиво,пиво,
Champagne,Шампа́нське ,шампанское,
Cider,Сидр,сидр,
Coffee,Кава,кофе,
Cultured milk,Кисляк,простокваша,
Distilled spirits,Міцні спиртні напої,Крепкие спиртные напитки,
Energy drink,Енергети́чні напо́ї ,энергетические напитки,
Hibiscus tea,Каркаде,каркаде,
Hot chocolate,Какао,какао,
Juice,Сік,сок,
Kefir,Кефі́р,кефир,
Kompot,Компот,компот,
Kvass,Квас,квас,
Lemonade,Лимона́д,лимонад,
Mead,Мед,мед,
Mead (Kyivan Rus),Медовуха,медовуха,
Moonshine,"Самогон, первак",Самогон, первач
Mors,Морс,Морс,
Nectar,Нектар,нектар,
Punch,Пунш,пунш,
Ryazhenka,Ряжанка,ряженка,
Spirit,спирт,спирт,
Tea,Чай,чай,
Tonic water,То́нік,тоник,
Uzvar,Узвар,узвар,
Vodka,Горілка,водка,
Water,Вода,вода,
Wine,Вино,вино,
