English,Україньска,Русский,Notes
Egg,Яйце,яйцо,
Honey,Мед,мед,
Jam,Повидло,повидло,
Kilogram,Кілограм,килограмм,
Marmalade,Мармелад,мармелад,
Nut,Горіх,орех,
Porridge,Каша,каша,
Sandwich,Сандвіч,сандвич,
Soup,Юшка/зупа,Уха / суп,
Bottle,Пляшка,бутылка,
Can/tin,Бляшанка/банка,Жестянка / банка,
Dozen,Дюжина,дюжина,
Garden,Город,город,
Jar,Слоїк/банка,Банку / банка,
Litre,Літр,литр,
Pound,Фунт,фунт,
Purchase,Покупка,покупка,
lunch,обід,обе́д,
"food, meal",їжа,еда́,
"product, produce",проду́кт,проду́кт,
food,їжа,пи́ща,
supper,вечеря,у́жин,
salt,сіль,соль,
breakfast,сніданок,за́втрак,
kasha,ка́ша,ка́ша,
"nourishment, nutrition",живлення,пита́ние,
soup,суп,суп,
"sip, gulp",ковток,глото́к,
"egg-white, protein",білок,бело́к,
