English,Україньска,Русский,Notes
"Aspic, meat jelly",Холодець,холодец,
Beet soup,Борщ,Борщ,
Berry preserve,Варе́ння,варенье,
Breaded and fried fish,Руба,ребром,
Cabbage roll,Голубці,голубцы,
Cabbage soup,Капусня́к,капустник,
Cake,Торт,торт,
Chicken Kyiv,Котле́та по-ки́ївськи,Котлета по-киевски,
Clear fish soup,Уха,уха,
Crepe,Налисник,блинчик,
Cured pork fat,Са́ло,сало,
Dumpling,Вареник,вареник,
Dumplings,Вареники,вареники,
Easter bread,Пáска,Пáска,
Fried breaded cutlet,Котле́та,котлета,
Fried cheese pancakes,Сирники,сырники,
Olivier salad,Олів'є,Оливье,
Pickled cucumber soup,Розсольник,рассольник,
Potato pancake,Деруни́,деруны,
Ring shaped bread roll,Бублик,Бублик,
Roast meat,Печеня,жаркое,
"Salad made with cooked, shredded vegetables",Вінегрет,винегрет,
Sausage,Ковбаса́,колбаса,
Savoury stuffed pie,пиріг,пирог,
Sorrel soup,Борщ зелений,борщ зеленый,
Spicy and sour soup,Соля́нка,солянка,
Stuffed buns,Пиріжок,пирожок,
Stuffed wheat pancakes,налисники,блинчики,
Sweet Easter bread,Кулич,кулич,
Traditional Christmas and funeral bread,Калач,калач,
Wedding bread,Корова́й,каравай,
Wheat and poppy seed dessert,Кутя́,кутья,
Wheat pancake,Блинчики,блинчики,
Yeast-raised bun,Пампушка,Пышка,
