English,Україньска,Русский,Notes
Asparagus,Спаржа,спаржа,
Beans,Квасоля/фасоля,Фасоль / фасоль,
Beet,Буряк,свекла,
Broccoli ,Броколі,брокколи,
Brussels sprout,Брюссельська капуста,брюссельская капуста,
Cabbage,Капуста,капуста,
Carrot,Морква,морковь,
Celery,Селера ,сельдерей,
Corn,Кукурудза,Кукуруза,
Couliflower,Капуста цвітна,капуста цветная,
Cucumber,Огірок,огурец,
Eggplant,Баклажан,баклажан,
Garlic,Часник,чеснок,
Lettuce,Салат,салат,
Mushroom,Гриб,гриб,
Onions,Цибуля,лук,
Parsnip,Пастернак,Пастернак,
Pea,Горох,горох,
Pepper,Перець,перец,
Pickle,Солений огірок,соленый огурец,
Potato,Картопля,Картофель,
Pumpkin,Гарбуз,тыква,
Salad,Салата,салата,
Spinach,Шпинат,шпинат,
Squash,Гарбуз,тыква,
Tomato,Помідор ,помидор,
Turnip,Турнепс,турнепс,
Vegetables,Городина/ярина/овочі,Овощи / яровые / овощи,
