English,Україньска,Русский,Notes
aquamarine,аквамариновий,аквамариновый,
black,чорний,черный,
blue,синій,синий,
brown,коричневий,коричневый,
chestnut,каштановий,каштановый,
coral,кораловий,коралловый,
crimson,малиновий,малиновый,
golden,золотий,золотой,
gray,сірий,серый,
green,зелений,зеленый,
lavender,лавандовий,лавандовый,
maroon,бордовий,бордовый,
navy blue,темносиній,темносиний,
olive,оливковий,оливковый,
orange,"апельсиновий, оранжевий",оранжевый,
pale,блідий,бледный,
pink,рожевий,розовый,
purple,фіолетовий,фиолетовый,
red,червоний,красный,
scarlet,ясно-червоний,светло-красный,
silver,срібний,серебряный,
sky blue,голубий,голубой,
teal,тіал,Триал,
turquoise,бірюза,бирюза,
violet,фіолетовий,фиолетовый,
white,білий,белый,
yellow,жовтий,желтый,
