English,Україньска,Русский,Notes
tear,сльоза,слеза́,
crack,щілину,щель,
"lustre, brilliance",блиск,блеск,
liquid,рідина,жи́дкость,
acidity,кислота́,кислота́,
mixture,суміш,смесь,
"thread, string",нитка,ни́тка,
"crack, split",тріщина,тре́щина,
checked,пестрий,вещество,
dark,темний,темный,
dotted,пунктирний,пунктирный,
dull,нудний,скучный,
flowered,квітучий,цветущий,
light,світлий,светлый,
opaque,непрозорий,непрозрачный,
printed,друкований,печатный,
shiny,блискучий,блестящий,
striped,смугастий,полосатый,
transparent,прозорий,прозрачный,
plain,звичайний,обычный,
