English,Україньска,Русский,Notes
circle,коло,круг,
line,лінія,ли́ния,
point,очко́,очко́,
"dimensions, size",розмір,разме́р,
"stripe, strip",смуга,полоса́,
"ring, hoop",кільце,кольцо́,
line,рядок,строка́,
"ball, sphere",куля,шар,
"knot, bundle",вузол,у́зел,
"volume, capacity",об`єм,объём,
"quantity, magnitude",величина́,величина́,
scale,масшта́б,масшта́б,
length,довжина,длина́,
hole,діра,дыра́,
disk,диск,диск,
line,паличка,па́лочка,
loop,пе́тля,пе́тля,
opening,отвір,отве́рстие,
"strip, band",смужка,поло́ска,
line,строчо́к,строчо́к,
