English,Україньска,Русский,Notes
paper,папір,бума́га,
glass,скло,стекло́,
material,матеріал,материа́л,
sand,пісок,песо́к,
"paint, dye",кра́ска,кра́ска,
iron,залізо,желе́зо,
"cloth, fabric",тканина,ткань,
gold,зо́лото,зо́лото,
feather,перо́,перо́,
"skin, hide",шку́ра,шку́ра,
brick,цегла,кирпи́ч,
metal,мета́л,мета́лл,
asphalt,асфальт,асфа́льт,
"fat, grease",жир,жир,
coal,вугілля,у́голь,
copper,котел,котёл,
mixture,суміш,смесь,
"matter, substance",матерія,мате́рия,
"thread, string",нитка,ни́тка,
water,вода́,вода́,
glass,склянка,стака́н,
dust,пил,пыль,
petroleum,нафту,нефть,
powder,порошо́к,порошо́к,
poison,отрута,яд,
Aluminum,Алюміній,алюминий,
Asphalt,Бітуми,битумы,
Brass,Латунь,латунь,
Bronze,Бронза,бронза,
Carbon,Вуглець,углерод,
Cement,Цемент,цемент,
Ceramic,Кераміка,керамика,
Concrete,Бетон,бетон,
Cotton,Бавовна,хлопок,
Fabric,Текстиль,Текстиль,
Gold,Золото,золото,
Graphite,Графіт,графит,
Iron,Залізо,Железо,
Lead,Свинець,свинец,
Magnesium,Магній,магний,
Metal,Метал,металл,
Nickel,Нікель,никель,
Plastic,Пластмаса,пластмасса,
Sand,Пісок,песок,
Silver,Срібло,серебро,
Steel,Сталь,сталь,
Wood,Деревина,древесина,
