English,Україньска,Русский,Notes
door,двері,дверь,
"flat, apartment",кварти́ра,кварти́ра,
"house, home",хата,дом,
road,доро́га,доро́га,
window,вікно,окно́,
street,вулиця,у́лица,
room,кімната,ко́мната,
floor,підлога,пол,
wall,стіна,стена́,
courtyard,двір,двор,
nook,кут,у́гол,
room in a hotel,но́мер,но́мер,
hall,зал,зал,
"corridor, passage",коридо́р,коридо́р,
"study, suite",кабінет,кабине́т,
kitchen,ку́хня,ку́хня,
gateway,воріт,во́рот,
"floor, storey",поверх,эта́ж,
roof,дах,кры́ша,
stairs,сходи,ле́стница,
"building, edifice",будівлю,зда́ние,
garden,сад,сад,
"pipe, chimney",труба́,труба́,
factory,заво́д,заво́д,
station,станція,ста́нция,
stage,сцена,сце́на,
"cell, chamber",ка́мера,ка́мера,
plot of land,ділянку,уча́сток,
"ceiling, roof",стеля,потоло́к,
"entrance, entry",вхід,вход,
tent,пала́тка,пала́тка,
foundation,заснування,основа́ние,
"post, fast",пост,пост,?
"base, foundation",основа,осно́ва,
walls,стін,стен,
"rooms, premises",приміщення,помеще́ние,
fence,паркан,забо́р,
"wall, side",стінка,сте́нка,
"entrance, doorway",під'їзд,подъе́зд,
park,парк,парк,
"cell, cage",клітина,кле́тка,
hut,хата,изба́,
"column, pillar",коло́нна,коло́нна,
porch,ганок,крыльцо́,
"storage, storehouse",склад,склад,
small house,будиночок,до́мик,
"building, construction",будівництво,строи́тельство,
shower stall,кабіна,каби́на,
"tower, turret",вежа,ба́шня,
basement,підвал,подва́л,
door,дверцята,две́рца,
complex,комплекс,ко́мплекс,
"ward, chamber",пала́та,пала́та,
vegetable garden,город,огоро́д,
"bus stop, halting place",етап,эта́п,
"shed, barn",сара́й,сара́й,
"office, bureau",конто́ра,конто́ра,
"lift, elevator",ліфт,лифт,
balcony,балко́н,балко́н,
"step, rung",сходинка,ступе́нька,
peep-hole,вічко,глазо́к,
passageway,прохід,прохо́д,
trench,око́п,око́п,
"pavement, sidewalk",тротуа́р,тротуа́р,
"grating, lattice",решітка,решётка,
"side-street, alley",провулок,переу́лок,
"hatch, manhole",люк,люк,
window,віконце,око́шко,
window-sill,підвіконня,подоко́нник,
bedroom suite,спа́льня,спа́льня,
"dormitory, hostel",гуртожиток,общежи́тие,
"quarter, block",кварта́л,кварта́л,
"dwelling, habitation",житло,жильё,
"room, cabin",каю́та,каю́та,
garage,гара́ж,гара́ж,
"hall, antechamber",передпокій,прихо́жая,
flight of stairs,марш,марш,
bath,ванна,ва́нна,
deck,па́луба,па́луба,
salon,сало́н,сало́н,
column,графа́,графа́,
fence,огорожа,огра́да,
step,сходинка,ступе́нь,a ‘step’ in a staircase
faucet,кран,кран,
hut,ха́та,ха́та,
fireplace,вогнище,оча́г,
"stake, picket",кол,кол,
"window, show-case",вітрина,витри́на,
"cupola, dome",купол,ку́пол,
"building, construction",спорудження,сооруже́ние,
"hall, lobby",хол,холл,
"construction, design",конструкція,констру́кция,
swimming pool,басейн,бассе́йн,
earth-house,землянка,земля́нка,
parking spot,стоя́нка,стоя́нка,
"box, booth",будка,бу́дка,
office,офіс,о́фис,
playground,майданчик,площа́дка,
