English,Україньска,Русский,Notes
Afghanistan,Афганістан,Афганистан,
Albania,Албанія,Албания,
Algeria,Алжир,Алжир,
Andorra,Андорра,андорра,
Angola,Ангола,Ангола,
Antigua and Barbuda,Антигуа і Барбуда,Антигуа и Барбуда,
Argentina,Аргентина,Аргентина,
Armenia,Вірменія,Армения,
Australia,Австралія,Австралия,
Austria,Австрія,Австрия,
Azerbaijan,Азербайджан,Азербайджан,
The Bahamas,Багамські острови,Багамские острова,
Bahrain,Бахрейн,Бахрейн,
Bangladesh,Бангладеш,Бангладеш,
Barbados,Барбадос,Барбадос,
Belarus,Білорусь,Беларусь,
Belgium,Бельгія,Бельгия,
Belize,Беліз,Белиз,
Benin,Бенін,Бенин,
Bhutan,Бутан,Бутан,
Bolivia,Болівія,Боливия,
Bosnia and Herzegovina,Боснія і Герцеговина,Босния и Герцеговина,
Botswana,Ботсвана,Ботсвана,
Brazil,Бразилія,Бразилия,
Brunei,Бруней,Бруней,
Bulgaria,Болгарія,Болгария,
Burkina Faso,Буркіна-Фасо,Буркина-Фасо,
Burundi,Бурунді,Бурунди,
Cabo Verde,Кабо-Верде,Кабо-Верде,
Cambodia,Камбоджа,Камбоджа,
Cameroon,Камерун,Камерун,
Canada,Канада,Канада,
Central African Republic,Центральноафриканська Республіка,Центрально-Африканская Республика,
Chad,Чад,Чад,
Chile,Чилі,Чили,
China,Китай,Китай,
Colombia,Колумбія,Колумбия,
Comoros,Коморські острови,Коморские острова,
Democratic Republic of the Congo,Демократична Республіка Конго,Демократическая Республика Конго,
Republic of the Congo,Республіка Конго,Республика Конго,
Costa Rica,Коста-Ріка,Коста-Рика,
Côte d’Ivoire,Кот-д'Івуар,Берег Слоновой Кости,
Croatia,Хорватія,Хорватия,
Cuba,Куба,Куба,
Cyprus,Кіпр,Кипр,
Czech Republic,Чеська Республіка,Чешская Республика,
Denmark,Данія,Дания,
Djibouti,Джибуті,Джибути,
Dominica,Домініка,Доминика,
Dominican Republic,Домініканська республіка,Доминиканская Республика,
East Timor (Timor-Leste),Східний Тимор (Тимор-Лешті),Восточный Тимор (Тимор-Лешти),
Ecuador,Еквадор,Эквадор,
Egypt,Єгипет,Египет,
El Salvador,Сальвадор,Сальвадор,
Equatorial Guinea,Екваторіальна Гвінея,Экваториальная Гвинея,
Eritrea,Еритрея,Эритрея,
Estonia,Естонія,Эстония,
Ethiopia,Ефіопія,Эфиопия,
Fiji,Фіджі,Фиджи,
Finland,Фінляндія,Финляндия,
France,Франція,Франция,
Gabon,Габон,Габон,
The Gambia,Гамбія,Гамбия,
Georgia,Грузія,Грузия,
Germany,Німеччина,Германия,
Ghana,Гана,Гана,
Greece,Греція,Греция,
Grenada,Гренада,Гренада,
Guatemala,Гватемала,Гватемала,
Guinea,Гвінея,Гвинея,
Guinea-Bissau,Гвінея-Бісау,Гвинея-Бисау,
Guyana,Гайана,Гайана,
Haiti,Гаїті,Гаити,
Honduras,Гондурас,Гондурас,
Hungary,Угорщина,Венгрия,
Iceland,Ісландія,Исландия,
India,Індія,Индия,
Indonesia,Індонезія,Индонезия,
Iran,Іран,Иран,
