English,Україньска,Русский,Notes
Europe,Європа,Евро́па,
Germany,Німеччина,Герма́ния,
Leningrad,Ленингра́д,Ленингра́д,
Don,дон,дон,
Paris,Пари́ж,Пари́ж,
Israel,Ізраїль,Изра́иль,
France,Франція,Фра́нция,
Chechnya,Чечня́,Чечня́,
Volga,во́лга,во́лга,
Ukraine,Україна,Украи́на,
England,Англія,А́нглия,
Berlin,Берлін,Берли́н,
Japan,Японія,Япо́ния,
London,Ло́ндон,Ло́ндон,
Greek,грек,грек,
Estonia,Естонія,Эсто́ния,
Chinese,китаєць,кита́ец,
Englishman,англієць,англича́нин,
Odessa,Оде́са,Оде́сса,
Poland,Польща,По́льша,
Rome,Рим,Рим,
Caucasus,Кавка́з,Кавка́з,
