English,Україньска,Русский,Notes
arm-chair,крісло,кре́сло,
table,стіл,стол,
"box, case",я́щик,я́щик,
chair,стілець,стул,
stool,табурет,табурет,
bed,ліжко,крова́ть,
table,табли́ца,табли́ца,
sofa,дива́н,дива́н,
bed,ліжко,посте́ль,
small table,сто́лик,сто́лик,
shelf,полиць,поло́к,
furniture set,обстано́вка,обстано́вка,
television set,телевізор,телеви́зор,
"cupboard, dresser",шафа,шкаф,
"pillow, cushion",подушка,поду́шка,
stove,грубка,пе́чка,
"carpet, rug",килим,ковёр,
"bed, bunk",ліжко,ко́йка,
seat,сидіння,сиде́нье,
dish set,посуд,посу́да,
bench,лавка,скаме́йка,
toilet,туале́т,туале́т,
bench,ла́вка,ла́вка,
furniture,меблі,ме́бель,
towel,рушник,полоте́нце,
refrigerator,холодильник,холоди́льник,
buffet,буфе́т,буфе́т,
bureau,бюро́,бюро́,
bed-sheet,простира́дло,простыня́,
bench,лава,скамья́,
"tank, bin",бак,бак,
curtain,фіранка,занаве́ска,
safe,сейф,сейф,
