English,Україньска,Notes
Bathtub,Ванна,
Brush,Щітка,
Comb,Гребінь,
Contact lenses,Контактна лінза,
Counter,Прилавок ,
Dental floss,Зубна нитка,
Deodarant,Дезодорант,
Drain,Трубка,
Drawer,Шухляда,
Hairdo,Зачіска,
Hairdryer,Фен,
Hairspray,Лак для волосся,
Hand lotion,Крем для рук,
Cosmetics,Косметика,
Mirror,Дзеркало,
Pipe,Трубка,
Perfume,Духи,
Perfume ,Пахощі,
Razor,Бритва,
Shampoo,Шампунь,
Shower,Душ,
Shower curtain,Завіса,
Sink,Раковина,
Soap,Мило,
Sponge,Губки,
Tap,Кран,
Toilet,Туалет,
Toothbrush,Зубна щітка,
Toothpaste,Зубна паста,
Towel,Рушник,
