English,Україньска,Notes
Bottle,Пляшка,
Bowl,Миска,
Cauldron,Казан,
Chair ,Стілець,
Chalice,Потир,
Coffee machine,Кавоварка,
Coffee pot,Кавник,
Colander,Друшляк,
Cookbook,Кулінарна книга,
Cookware,Каструля,
Cup,Горнятко/Чашка,
Cupboard/closet,Шафа,
Cutting board,Стільничка,
Dishes,Посуд,
Dishwasher,Посудомийка,
Fork,Виделка,
Freezer,Морозильник,
Frying pan,Сковорода,
Glass cup,Склянка,
Grater,Тертушка,
Jar,Банка,
Kettle,Чайник,
Kitchen,Кухня,
Knife,Ніж,
Label,Етикетка,
Metal scouring pad,Дрейка,
Microwave,Мікрохвильова піч,
Mug,Кухоль,
Oven,Піч,
Pan,Рондель,
Pantry/storage room,Комора,
Pitcher,Графин,
Plate,Тарілка,
Porcelain ,Порцеляна,
Pot,Баняк,
Recipe,рецепт,
Refrigerator,Холодильник,
Serviette,Серветка,
Sink,Раковина,
Soup bowl,Миска,
Spoon,Ложка,
Stove,піч,
Strainer,Сито,
Table,Стіл,
Table cloth,Скатертка,
Tea cup,Чашка,
Tea pot,Чайник,
Teaspoon,Ложечка,
Timer,Таймер,
Tin can,Бляшанка,
Vase,Ваза,
Wine glass,Бокал,
