English,Україньска,Русский,Notes
money,гроші,де́ньги,
rouble,рубль,рубль,
company,компанія,компа́ния,
bank,банк,банк,
"document, deed",докуме́нт,докуме́нт,
"shop, store",магази́н,магази́н,
"management, administration",управління,управле́ние,
"cost, value",ціна,цена́,
"chairman, president",голова,председа́тель,
dollar,до́лар,до́ллар,
organization,організація,организа́ция,
firm,фірма,фи́рма,
"production, manufacture",виробництво,произво́дство,
"staff, headquarters",штаб,штаб,
market,ринок,ры́нок,
"department, section",відділ,отде́л,
"business, enterprise",підприємство,предприя́тие,
"debt, duty",борг,долг,
restaurant,ресторан,рестора́н,
farm,господарство,хозя́йство,
"tax, duty",податок,по́дать,
"salary, pay",зарпла́та,зарпла́та,
sale,акція,а́кция,
hotel,готель,оте́ль,
"client, customer",клієнт,клие́нт,
"fund, stock",фонд,фонд,
business,бізнес,би́знес,
budget,бюдже́т,бюдже́т,
receipt,отримання,получе́ние,
industry,промисловість,промы́шленность,
"sale, selling",продаж,прода́жа,
"trade, commerce",торгівля,торго́вля,
"exchange, interchange, barter",обмін,обме́н,
"transfer, remittance",переклад,перево́д,
cafe,кафе́,кафе́,
"account, report",звіт,отчёт,
workshop,цех,цех,
profit,прибуток,при́быль,
"cost, value",вартість,сто́имость,
copeck,копійка,копе́йка,
"tax, duty",збір,сбор,
tax,податок,нало́г,
post-office,пошта,по́чта,
"income, profit",дохід,дохо́д,
expense,витрата,расхо́д,
market,база́р,база́р,
"factory, mill",фабрика,фа́брика,
capital,капітал,капита́л,
buyer,покупець,покупа́тель,
resources,ресу́рс,ресу́рс,
tip,кінчик,ко́нчик,
coin,моне́та,моне́та,
purchase,поку́пка,поку́пка,
seller,продаве́ц,продаве́ц,
corporation,корпорація,корпора́ция,
cash-desk,каса,ка́сса,
"contract, agreement",контракт,контра́кт,
"work, job",робота,рабо́та,
labour,працю,труд,
service,слу́жба,слу́жба,
occupation,професія,профе́ссия,
