English,Україньска,Русский,Notes
Airport,Аеропорт,аэропорт,
Bridge,Міст,Мост,
Broadband,Широкосмуговий зв'язок,широкополосный,
Canal,Канал,канал,
Coastal management,Управління прибережною смугою,Управление прибрежными районами,
Critical infrastructure,Критична інфраструктура,Критическая инфраструктура,
Dam,Дамба,дамба,
dock,док,док,
Electricity,Електрика,Электричество,
Energy,Енергія,энергии,
Hazardous waste,Небезпечні відходи,Опасные отходы,
Hospital,Лікарня,больница,
Irrigation scheme,Схема зрошення,Схема ирригации,
Levee,Levee,дамба,
Lighthouse,Маяк,Маяк,
Park,Парк,Парк,
"pier, breakwater, jetty",пірс,пирс,
Pipeline transport,Трубопровідний транспорт,Трубопроводный транспорт,
"port, harbour","порт, гавань","порт, гавань",
 Mass transit,  Громадський транспорт,  Общественный транспорт,
Public housing,Державне житло,Общественное жилье,
State school,Державна школа,Государственная школа,
Public space,Громадський простір,Публичное место,
Rail,Залізниця,рельсовый,
Road,Дорога,Дорога,
Sewage treatment,Очищення стічних вод,Очистка сточных вод,
Solid waste treatment,Тверді відходи обробки,Обработка твердых отходов,
Telecommunication,Телекомунікації,телекоммуникация,
Utilities ,Утиліти,коммунальные услуги,
Water supply,Постачання води,Водоснабжение,
Weir,Водослив,водослив,
Wastewater,Стічні води,Сточные Воды,
