English,Україньска,Русский,Notes
Amount,Кількість,количество,
Bottle,Пляшка,бутылка,
Box,Коробка,коробка,
Bunch,Пучок,пучок,
Cashier,Касир,Кассир,
Customer,Покупець,покупатель,
Foodstuff,Продукти,продукты,
Goods,Товар,товар,
Jar,Банка,банка,
Kilogram,Кілограм,килограмм,
Lump,Шматок,кусок,
Parcel,Пакет,пакет,
Piece,Штука,штука,
Price,Ціна,Цена,
Self-service,Самообслугення,Самообслугення,
Shop assistant,Продавець,Продавец,
Size,Розмір,Размер,
Ten,Десяток,десяток,
Turn,Черга,очередь,
Weight,Вага,вес,
