English,Україньска,Русский,Notes
step,крок,шаг,
movement,рух,движе́ние,
course,хід,ход,
path,шлях,путь,
airplane,літак,самолёт,
exit,вихід,вы́ход,
train,потяг,по́езд,
kilometre,кілометр,киломе́тр,
carriage,ваго́н,ваго́н,rail carriage
ship,корабель,кора́бль,large boat
boat,човен,ло́дка,small boat
automobile,автомобіль,автомоби́ль,
footstep,слід,след,
bus,авто́бус,авто́бус,
distance,відстань,расстоя́ние,
to the right,справа,спра́ва,
north,північ,се́вер,
"trip, journey",поїздка,пое́здка,
passport,па́спорт,па́спорт,
highway,шосе,шоссе́,
flight,політ,полёт,
"lorry, truck",вантажівка,грузови́к,lorry or semi
helicopter,гвинтокрил,вертоле́т,
metro,метро́,метро́,
pathway,доріжка,доро́жка,
hike,похід,похо́д,
journey,подорож,путеше́ствие,
vessel,су́дно,су́дно,big ship like a container vessel or ferry
transport,тра́нспорт,тра́нспорт,
stop,зупинка,остано́вка,"train stop, bus stop"
crew,екіпаж,экипа́ж,cabin crew
taxi,таксі,такси́,
steamship,пароплав,парохо́д,
boatswain,боцман,бо́цман,ship's officer in charge of equipment and crew (petty officer)
"avenue, prospectus",проспе́кт,проспе́кт,
"aviation, aircraft",авіація,авиа́ция,
"arrival, coming",приїзд,прие́зд,
airport,аеропорт,аэропо́рт,
departure,від'їзд,отъе́зд,
route,маршру́т,маршру́т,
tram,трамва́й,трамва́й,
"directions, instructions",інструкція,инстру́кция,
"walk, stroll",прогулянка,прогу́лка,
"coming, arrival",прихід,прихо́д,
visa,віца,ви́ца,
business trip,відрядження,командиро́вка,
tractor,тра́ктор,тра́ктор,
motorcycle,мотоцикл,мотоци́кл,
bicycle,велосипе́д,велосипе́д,
ski,лижа,лы́жа,
airfield,аеродром,аэродро́м,
saddle,сідло,седло́,
gasoline,бензи́н,бензи́н,
path,стежка,тропи́нка,
"avenue, boulevard",бульва́р,бульва́р,
"pace, walk",хода,похо́дка,
track,траса,тра́сса,
platform,платфо́рма,платфо́рма,train platform
course,хід,ход,
"canal, channel",канал,кана́л,
station building,вокза́л,вокза́л,
