English,Україньска,Русский,Notes
"picture, painting",карти́на,карти́на,
play,гра,игра́,
story,розповідь,расска́з,
novel,рома́н,рома́н,
music,музика,му́зыка,
literature,література,литерату́ра,
art,мистецтво,иску́сство,
theatre,теа́тр,теа́тр,
culture,культу́ра,культу́ра,
photography,фотогра́фія,фотогра́фия,
film,фільм,фильм,
"holiday, feast",свято,пра́здник,
museum,музе́й,музе́й,
tone,тон,тон,
"cinema, movies",кіно,кино́,
song,пісня,пе́сня,
portrait,портре́т,портре́т,
grave,моги́ла,моги́ла,
sin,гріх,грех,
"monument, memorial",па́мятник,па́мятник,
library,бібліотека,библиоте́ка,
gnome,гном,гном,
tradition,традиція,тради́ция,
bath-house,ба́ня,ба́ня,
"coffin, grave",труну,гроб,
"cemetery, graveyard",кладовище,кла́дбище,
"concert, recital",конце́рт,конце́рт,
wedding,весілля,сва́дьба,
"fashion, vogue",мо́да,мо́да,
marriage,шлюб,брак,
drawing,малюнок,рису́нок,
picture,карти́нка,карти́нка,
sport,спорт,спорт,
legend,леге́нда,леге́нда,
orchestra,орке́стр,орке́стр,
"play, piece",п'єса,пье́са,
premiere,прем'єра,премье́ра,
"chorus, choir",хор,хор,
hobbit,хоббіт,хо́ббит,
"poem, rhyme",вірш,стихотворе́ние,
"custom, usage",звичай,обы́чай,
circus,цирк,цирк,
action movie,бойовик,боеви́к,
poetry,поезія,поэ́зия,
guitar,гітара,гита́ра,
prose,про́за,про́за,
music record,платівка,пласти́нка,
song,пісня,песнь,
