English,Україньска,Русский,Notes
Accompanist,Акомпаніатор,аккомпаниатор,
Album,Альбом,Альбом,
Alto,Альто,альт,
Band,Гурт,Группа,
Bass,Бас,бас,
Choir,Хор,хор,
Clef,Клеф,Ключ,
Composer,Композитор,Композитор,
Concert,Концерт,Концерт,
Conductor,Диригент,проводник,
Duet,Дует,Дуэт,
Ensemble,Ансамбль,Ансамбль,
Melody,Мелодія,Мелодия,
Note,Примітка,Заметка,
Opera,Опера,опера,
Orchestra,Оркестр,оркестр,
Record,Запис,запись,
Recording,Запис,запись,
Score,Оцінка,Гол,
Singer,Співак,певец,
Solo,Соло,Соло,
Soloist,Соліст,солист,
Soprano,Сопрано,Сопрано,
Stage,Етап,стадия,
Tenor,Тенор,Тенор,
