English,Україньска,Русский,Notes
Athletics,Легка́ атле́тика ,Легкая атлетика,
Boxing,Бокс,Бокс,
Coach,Тренер,тренер,
Contest,Змагання,соревнования,
Fan,Болільник,болельщик,
Goal,Гол,гол,
Hill,Горб,горб,
Hockey,Гокей,хоккей,
Horseback rider,Вершник,Всадник,
Ice,Лід,лед,
Jungle gym,Лазанка,лазанка,
Kilometre,Кілометр,километр,
Ladder,Драбина,лестница,
Medal,Медаль,медаль,
Merry-go-round,Каруселя,карусель,
Mile,Миля,миля,
Pitch,Футбольне поле,футбольное поле,
Prize,Нагорода,награда,
Roller skate,Ролик,ролик,
Skate,Ковзан,конек,
Skateboard,Скейт,скейт,
Skater,Ковзаняр,конькобежец,
Skating rink,Ковзанка,каток,
Ski,Лижа,лыжа,
Skier,Лижник,лыжник,
Skipping rope,Скакалка,скакалка,
Sled,Санки,санки,
Snowball,Сніжка,снежок,
Snowman,Снігова баба,Снежная баба,
Snowmobile,Мотосани,мотосани,
Soccer,Футбол,Футбол,
Sport,Спорт,Спорт,
Success,Успіх,успех,
Suprise,Несподіванка,неожиданность,
Team,Команда,команда,
Tennis,Теніс,теннис,
Toboggan,Батуті,батуте,
Trampoline,Трофей,трофей,
Tricycle,Візок,тележка,
Water skis,Водяні лижі,водяные лыжи,
Wave,Хвиля,волна,a wave of water
