English,Україньска,Русский,Notes
class,клас,класс,
education,освіта,образова́ние,
reader,читач,чита́тель,
book,кни́жка,кни́жка,
pupil,учень,учени́к,
"lesson, homework",уро́к,уро́к,
university,університет,университе́т,
examination,іспит,экза́мен,
"lecture, report",доповідь,докла́д,
"school, college",училище,учи́лище,
lecture,лекція,ле́кция,
academy,академія,акаде́мия,
academician,академік,акаде́мик,
intelligentsia,інтелігенція,интеллиге́нция,
student,курсант,курса́нт,
"education, upbringing",виховання,воспита́ние,
"studies, learning",вчення,уче́ние,
notebook,зошит,тетра́дь,
textbook,підручник,уче́бник,
diploma,дипло́м,дипло́м,
writing-pad,блокнот,блокно́т,
study,вивчення,изуче́ние,
Algebra,алгебра,алгебра,
Assignment/homework,завдання,задание,
Bachelor’s degree,бакала́вр,бакалавр,
Backpack,рюкза́к,рюкзак,
Binder,тека-реєстратор,папка-регистратор,
Book,книжка,книга,
Briefcase,течка/портфель,папочка / портфель,
Cafeteria,їда́льня,столовая,
Calculator,калькулятор,калькулятор,
Calendar,календа́р,календарь,
Chalk,крейда,мел,
Chalkboard,таблиця/дошка,таблица / доска,
Choir,хор,хор,
Class,клас,класс,
Classmate,однокласник,одноклассник,
Classroom,кляса,класс,
Computer,ком'пютер,компьютер,
Corridor,коридор,коридор,
Counsellor,порадник,советник,
Course,курс,курс,
Crayon,кольоровий олівець,цветной карандаш,
Degree,науковий ступінь,научная степень,
Desk,бюро,бюро,
Dictionary,словник,словарь,
Diploma,дипло́м,диплом,
Doctorate,до́ктор нау́к,доктор наук,
Dormitory,гуртожиток,общежитие,
Elementary school,початкова школа,начальная школа,
Encyclopedia,енциклопедія,Энциклопедия,
Eraser,гумка,резинка,
Exam,Іспит,экзамен,
Faculty (division),факульте́т,факультет,
Friend,товариш,товарищ,
Genius,геній,гений,
Geometry,геометрія,геометрия,
Globe,глобус,глобус,
Grade,бал,бал,
Gym,спорти́вна за́ла ,спортивный зал,
Higher education,ви́ща осві́та ,высшее образование,
History,істо́рія,история,
Homework,"домашня робота, домашнє завдання ",домашняя работа, домашнее задание
Ink,"чорнило, атра́мент",чернила, чернила
Kindergarten,дитя́чий садо́к ,детский сад,
Knapsack,наплечник/рюкзак,Рюкзак / рюкзак,
Laboratory,лабораторія,лаборатория,
Lesson/lecture,лекція/урок,лекция / урок,
Library,бібліотека,библиотека,
Location,місце,место,
Map,географічна карта,географическая карта,
Marker,флома́стер,фломастер,
Master’s degree,магі́стр,магистр,
Math,матема́тика,математика,
Museum,музей,музей,
Notebook,зошит,тетрадь,
Paint,фарба,краска,
Preschool,дошкі́льний навча́льний за́клад ,детский сад,
Pen,перо/ручка,перо / ручка,
Pencil,олівець,карандаш,
Playground,дитячий ігровий майданчик,детская игровая площадка,
Poster,афіша,афиша,
Principal,за́вуч,завуч,
Professor,професор,профессор,
Pupil,учень/учениця/школяр,ученик / ученица / школьник,
Ruler,лінійка,линейка,
Puzzle,головоло́мка,головоломка,
Specialist degree,спеціаліст,специалист,
Scholarship,стипе́ндія,стипендия,
School,школа,школа,
Science,нау́ка,наука,
Scissors,ножиці,ножницы,
Secondary school,сере́дня загальноосві́тня шко́ла,средняя общеобразовательная школа,
Semester,семестр,семестр,
Stairs,сходи,лестницы,
Stapler,степлер,степлер,
Student,студент,студент,
Surname,прізвище,фамилия,
Tape,клейка стрі́чка,клейкая лента,
Teacher,учитель,учитель,
Test,іспит,экзамен,
Textbook,підручник,учебник,
University,університет,университет,
Vacation,відпу́стка,отпуск,
"school, schoolhouse",шко́ла,шко́ла,
