English,Україньска,Русский,Notes
"trial, lawsuit",процес,проце́сс,
"lawsuit, action",по́зов,иск,
"court, the bench",суд,суд,
prison,в'язниця,тюрьма́,
"murder, assassination",вбивство,уби́йство,
"crime, felony",злочин,преступле́ние,
police,поліція,поли́ция,
killer,вбивця,уби́йца,
witness,свідок,свиде́тель,
criminal,злочинець,престу́пник,
thief,злодій,вор,
theft,крадіжка,кража,
prosecutor,прокурор,прокуро́р,
prosecution,обвинувачення,обвинение,
punishment,покарання,наказа́ние,
arrest,арешт,аре́ст,
"testimony, evidence",показання,показа́ние,
testimony,свідчення,свидетельство,
"charge, accusation",звинувачення,обвине́ние,
"barrister, lawyer",адвока́т,адвока́т,
"sentence, verdict",вирок,пригово́р,
Office of Public Prosecutor,прокурату́ра,прокурату́ра,
robber,розбійник,разбо́йник,
robbery,викрадення,похищение,
investigation,розслідування,рассле́дование,
"execution, capital punishment",кара,казнь,
counsel for the defence,захисник,защи́тник,
corruption,"бруд, корупція",грязь,
violence,наси́льство,насилие,
violation,пору́шення,нарушение,
threat,загроза,угроза,
suspect,підозрюваний,подозреваемый,
statement,зві́тність,отчетность,
rape,зґвалтува́ння,изнасилование,
ransom,викуп,выкуп,
prostitution,проститу́ція,проституция,
oath,клятва,клятва,
misdemeanor,проступок,проступок,
looting,грабі́ж,грабеж,
kidnapping,викрадення,похищение,
juvenile,неповнолітні,несовершеннолетние,
jury,присяжні,присяжные,
judge,суддя́,судья,
innocence,невинність,невиновность,
inmate,в'язень,узник,
indictment,звинувачення,обвинения,
hostage,зару́чник,заложник,
inheritance,спадкува́ння,наследование,
guilt,вина́,вина́,
fraud,шахрайство,мошенничество,
forgery,фальсифікація,фальсификация,
fine,штраф,штраф,
felony,фело́нія,фелониям,
drug trade,наркоторгівля,наркоторговля,
divorce,розлучення,развод,
defendant,відповідач,ответчик,
court order,ухвала,постановление,
conviction,перекона́ння,убеждение,
convict,варнак,варнак,
bribery,хаба́р,взятка,
blackmail,шанта́ж,шанта́ж,
bail,застава,залог,
assault,напад,нападение,
accessory,співучасник,соучастник,
accusation,звинувачення,обвинения,
acquittal,виправдання,оправдание,
alibi,при́від,повод,
appeal,зве́рнення,обращение,
arson,підпа́л,поджог,
assailant,нападник,нападающий,
assassination,вби́вство,убийство,
