English,Україньска,Русский,Notes
"war, warfare",війна,война́,
"army, forces",армія,а́рмия,
"soldier, private",солда́т,солда́т,
general,генера́л,генера́л,
captain,капітан,капита́н,
commander,команди́р,команди́р,
lieutenant,лейтена́нт,лейтена́нт,
officer,офіцер,офице́р,
"arms, weapons",зброю,ору́жие,
"battle, fight",бій,бой,
"struggle, fight",боротьба,борьба́,
"blow, strike",уда́р,уда́р,
colonel,полко́вник,полко́вник,
company,ро́та,ро́та,
"detachment, team",кома́нда,кома́нда,
"army, forces",військо,во́йско,
major,майо́р,майо́р,
battle-front,фронт,фронт,
fighting-man,боєць,бое́ц,
detachment,загін,отря́д,
pistol,пістолет,пистоле́т,
bullet,куля,пу́ля,
"order, command",наказ,прика́з,
"enemy, opponent",проти́вник,проти́вник,
"command, authorities",керівництво,нача́льство,
"defence, protection",захист,защи́та,
shot,постріл,вы́стрел,
" sergeant-major, master sergeant",старшина́,старшина́,
regiment,полк,полк,
"rocket, missile",раке́та,раке́та,
battalion,батальйон,батальо́н,
"fighting man, warrior",воїн,во́ин,
machine-gun,кулемет,пулемёт,
"commissar, commissioner",комісар,комисса́р,
leader,лідер,ли́дер,
"projectile, shell",снаря́д,снаря́д,
"shot, rifleman",стрілок,стрело́к,
rifle,гвинтівка,винто́вка,
platoon,взвод,взвод,
handgun,рушниця,ружьё,
bomb,бо́мба,бо́мба,
"mine, mortar",міна,ми́на,
flank,бочо́к,бочо́к,
arrow,стріла,стрела́,
brigadier,бригади́р,бригади́р,
battalion commander,комба́т,комба́т,
"attack, assault",ата́ка,ата́ка,
"fleet, Navy",флот,флот,
"attack, assault",напад,нападе́ние,
guard,охоронець,охра́нник,
barracks,барак,бара́к,
"attack, onset",наступ,наступле́ние,
lieutenant-colonel,підполковник,подполко́вник,
marshal,маршал,ма́ршал,
"assault, storm",напад,при́ступ,
"stronghold, fortress",фортеця,кре́пость,
gun-fire,стрілянина,стрельба́,
commandant,коменда́нт,коменда́нт,
barracks,каза́рма,каза́рма,
spy,шпигун,шпио́н,
"command, headquarters",командування,кома́ндование,
rank,чин,чин,
grenade,грана́та,грана́та,
"arms, equipment",озброєння,вооруже́ние,
"partisan, guerilla",партиза́н,партиза́н,
battle,би́тва,би́тва,
artillery,артилерія,артилле́рия,
infantry,піхота,пехо́та,
"conqueror, victor",переможець,победи́тель,
full-dress uniform,мундир,мунди́р,
"epaulette, shoulder-strap",погон,пого́н,
Air force,Повітряні сили,воздушные силы,
Alliance,Алья́нс,Альянс,
Army,Сухопу́тні війська́,сухопутные войска,
Artillery,Артиле́рія,артиллерия,
Attack,На́ступ,наступление,
Base,Військові бази ,военные базы,
Battery,Батаре́я артилері́йська,батарея артиллерийская,
Battle,Би́тва,Битва,
Bomb,Бо́мба,бомба,
Camouflage,"Камуфля́ж, маскування","Камуфляж, маскировка",
Captain,Капіта́н,капитан,
Casualties,Військові втрати,военные потери,
Ceasefire,Припи́нення вогню́,прекращение огня,
Civilians,Mирне населення,Mирне населения,
Colonel,Полко́вник,полковник,
Combat,Бій,бой,
Commander,Командер,коммандер,
Conflict,"Конфлікт, зіткнення","Конфликт, столкновение",
Enemy,Ворог,враг,
Explosion,Вибух,взрыв,
Fighter jet,Вини́щувач,истребитель,
General,Генераліте́т,генералитет,
Grenade,Ручна граната,Ручная граната,
Gun,Вогнепа́льна збро́я,огнестрельное оружие,
Hand gun,Короткоствольна зброя ,короткоствольное оружие,
Helicopter,Гелікопте́р,вертолет,
Human rights,Права́ люди́ни ,права человека,
Humanitarian aid,Гуманіта́рна допомо́га,гуманитарная помощь,
Intelligence,Інтелéкт,Интелéкт,
Invasion,Вторгнення,вторжение,
Lieutenant ,"Лейтена́нт, заступник","Лейтенант, заместитель",
Machine gun,Кулеме́т,пулемет,
Military,Військо́ва спра́ва,Военное дело,
Mine,Міна наземна ,мина наземная,
Missile,Раке́тна зброя,ракетное оружие,
Rifle,Гвинтівка,винтовка,
Mortar,"Морти́ра, мущи́р","Мортира, мущир",
Navy,Військо́во-морські́ си́ли (ВМС),Военно-морские силы (ВМС),
Patrol,Патруль,патруль,
Peace,Мир,мир,
Physical trauma,Фізична травма,физическая травма,
Pilot,Льотчик,летчик,
Port,Порт,порт,
Prisoner,В'язень,узник,
Propaganda,Пропага́нда,пропаганда,
Rank,Військо́ве звання́,воинское звание,
Resistance,Опір,сопротивление,
Sergeant,Серж́ант,сержант,
Small arms,Стріле́цька збро́я ,стрелковое оружие,
Soldier,"Солда́т, вояк",Солдат,
Surveillance,Спостере́ження,наблюдение,
Tank,Танк,танк,
Target,Міше́нь,мишень,
Territory,"Теритóрія, земля","Теритóрия, земля",
Trench warfare,Позиці́йна війна́,позиционная война,
Troops,військо,войско,
War,Війна́,война,
Weapon,Збро́я,оружие,
