English,Україньска,Русский,Notes
God,Бог,Бог,
"God, the Lord",госпо́дь,госпо́дь,
soul,душа,душа́,
"sky, heaven",не́бо,не́бо,
"spirit, ghost",дух,дух,
"faith, belief",віра,ве́ра,
miracle,чу́до,чу́до,
"Jew, Hebrew",евре́й,евре́й,
devil,чорт,чёрт,
church,церква,це́рковь,
conscience,совість,со́весть,
cross,хрест,крест,
angel,а́нгел,а́нгел,
devil,диявол,дья́вол,
monk,мона́х,мона́х,
"monastery, nunnery",монастир,монасты́рь,
hell,ад,ад,
"mercy, grace",милість,ми́лость,
"priest, pin",поп,поп,
temple,"скроню, храм","висо́к, храм",
