English,Україньска,Русский,Notes
history,історія,исто́рия,
science,нау́ка,нау́ка,
subject,те́ма,те́ма,
plot,сюжет,сюже́т,
philosophy,філософія,филосо́фия,
ideology,ідеологія,идеоло́гия,
religion,релігія,рели́гия,
capitalism,капіталізм,капитали́зм,
Humanities,Гуманітарні науки,гуманитарные науки,
Arts,Мистецтво,искусства,
Performing arts,Виконавські види мистецтва,Исполнительское искусство,
Visual arts,Візуальні мистецтва,Изобразительное искусство,
History,Історія,история,
Languages,Мови,Языки,
Literature,Література,Литература,
Philosophy,Філософія,философия,
Theology,Теологія,теология,
Social sciences,Соціальні науки,Социальные науки,
Anthropology,Антропологія,Антропология,
Economics,Економіка,экономика,
Human geography,Географія людини,География человека,
Law,Закон,закон,
Political science,Політологія,Политическая наука,
Psychology,Психологія,Психология,
Sociology,Соціологія,социология,
Natural sciences,Природничі науки,Естественные науки,
Biology,Біологія,Биология,
Chemistry,Хімія,Химия,
Earth sciences,Наук про Землю,Науки о Земле,
Space sciences,Космічні науки,Космические науки,
Physics,Фізика,физика,
Formal sciences,Формальні науки,Формальные науки,
Computer Science,Комп'ютерна наука,Информатика,
Mathematics,Математика,Математика,
Statistics,Статистика,Статистика,
Applied sciences,Прикладні науки,Прикладные науки,
Engineering,Інженерія,инженерия,
Technology,Технологія,Технологии,
Medicine,Медицина,Лекарственное средство,
