English,Україньска,Русский,Notes
he,він,он,
I,я,я,
that,той,тот,
"that, this, it",це,это,
she,вона,она,
they,вони,они,
"you, thou",ти,ты,
we,ми,мы,
you,ви,вы,
this,цей,этот,
"which, who, that",який,который,
"such, so, some",такий,такой,
"myself, himself, herself",себе,себя,
"one's own, my, our",своє,своё,
"what, which, how",який,какой,
"who, that, some",хто,кто,
"my, mine",мій,мой,
"most, the very, the same",самий,самый,
"other, another, different",інший,другой,
"our, ours",наш,наш,
"my, our, your",свій,свой,
"myself, yourself",сам,сам,
nothing,ніщо,ничто,
"what, which, that",що,что,
"each, every",кожен,каждый,
yours,ваш,ваш,
"your, yours (informal)",твій,твой,
"no, none",ніякий,никакой,
some,деякий,некоторый,
"any, every",будь-який,любой,
it,воно,оно,
"different, other",інакший,иной,
"which (old-fashioned, literary); mostly found in set expressions: ни в ко́ем слу́чае, ни ко́им о́бразом, в кои ве́ки, на кой чёрт?",,кой,
this,цього,сей,
"any, every",всяке,всякое,
many,багато,многие,
whose,чий,чей,
"et cetera, other",інше,прочее,
