English,Україньска,Русский,Notes
"to be, have","бувати, побути","бывать, побыть",
"to become, begin, come",ставати / стати,становиться/стать,
to live,"жити, пожити, прожити"," пожить, прожить",
"to seem, appear",здаватися / здатися,казаться/показаться,
to love,любити / полюбити,любить/полюбить,
"to mean, signify",означати,значить,
"to be afraid, fear",боятися / забоятися,бояться/забояться,
to begin,починати / почати,начинать/начать,
to feel,відчувати / відчути,чувствовать/почувствовать,
to lead,вести / повести,вести/повести,
"to be in time, be successful",встигати / встигнути,успевать/успеть,
to continue,продовжувати / продовжити,продолжать/продолжить,
"to pass, go by, be over",проходити / пройти,проходить/пройти,
to try,намагатися / спробувати,пытаться/попытаться,
to stand; to become,ставати / стати,становиться/стать,
to stop,зупинятися / зупинитися,останавливаться/остановиться,
to begin,починати / почати,начинать/начать,
to believe,вірити / повірити,верить/поверить,
to appear,з'являтися / з'явитися,являться/явиться,
to be able,могти / змогти,мочь/смочь,
"to happen, occur, take place",відбуватися / статися,происходить/произойти,
"to gather together, assemble; intend",збиратися / зібратися,собираться/собраться,
to happen,траплятися / трапитися,случаться/случиться,
"to try, endeavour",намагатися / постаратися,стараться/постараться,
"to happen, occur, take place",відбуватися / статися,происходить/произойти,
"to be occupied, engage",займатися / зайнятися,заниматься/заняться,
to die,вмирати / померти,умирать/умереть,
to begin,починатися / початися,начинаться/начаться,
"to present, introduce, imagine",представляти / представити,представлять/представить,
"to please, like",подобатися / сподобатися,нравиться/понравиться,
"turn out well, succeed, manage",вдаватися / вдатися,удаваться/удаться,
"to fit, fall; have to",доводитися / припасти,приходиться/прийтись,
"to present, produce, introduce",представляти / представити,представлять/представить,
to feel,відчувати / відчути,чувствовать/почувствовать,
to bring,приносити / принести,приносить/принести,
"to agree, consent",погоджуватися / погодитися,соглашаться/согласиться,
"to offer, propose, suggest",пропонувати / запропонувати,предлагать/предложить,
to demand,вимагати / вимагати,требовать/потребовать,
to lose,втрачати / втратити,терять/потерять,
"to report, let know",повідомляти / повідомити,сообщать/сообщить,
"to appear, show up",з'являтися / з'явитися,появляться/появиться,
to forgive,прощати / пробачити,прощать/простить,
