English,Україньска,Русский,Notes
"to say, speak",говорити / сказати,говорить/сказать,
"to say, tell, speak",говорити / сказати,говорить/сказать,
to ask,питати / запитати,спрашивать/спросить,
"to answer, reply",відповідати / відповісти,отвечать/ответить,
to ask,просити / попросити,просить/попросить,
"to call, name",називати / назвати,называть/назвать,
"to ask, inquire",питати / запитати,спрашивать/спросить,
"to tell, narrate",розповідати / розповісти,рассказывать/рассказать,
to keep silence,мовчати / замовкнути,молчать/замолчать,
"to tell, narrate",розповідати / розповісти,рассказывать/рассказать,
"to answer, reply",відповідати / відповісти,отвечать/ответить,
"to cry, shout",кричати / крикнути,кричать/крикнуть,
to call,кликати / покликати,звать/позвать,
to explain,пояснювати / пояснити,объяснять/объяснить,
"to pronounce, say, utter",вимовляти / вимовити,произносить/произнести,
"to call, name",називати / назвати,называть/назвать,
"to cry, shout",кричати / крикнути,кричать/крикнуть,
"to call, send",викликати / викликати,вызывать/вызвать,
to ask,просити / попросити,просить/попросить,
"to call, send",викликати / викликати,вызывать/вызвать,
"to talk, speak",розмовляти,разговаривать,
to cry,плакати / поплакати,плакать/поплакать,
"to call, to telephone",дзвонити / подзвонити,звонить/позвонить,
to promise,обіцяти / пообіцяти,обещать/пообещать,
"to shout, cry out",кричати / закричати,кричать/закричать,
"to ring, call",дзвонити / подзвонити,звонить/позвонить,
"to have a talk, speak, tell",говорити / поговорити,говорить/поговорить,
"to order, command",наказувати / наказати,приказывать/приказать,
"to start laughing, begin to laugh",сміятися / засміятися,смеяться/засмеяться,
to be understood,розуміти,разуметься,
"to appeal, apply, address",звертатися / звернутися,обращаться/обратиться,
"to declare, announce",оголошувати / оголосити,объявлять/объявить,
"to appeal, address",звертатися / звернутися,обращаться/обратиться,
"to begin to speak,",заговорювати / заговорити,заговаривать/заговорить,
"to teach, learn",вчити / вивчити,учить/выучить,
"to declare, announce",заявляти / заявити,заявлять/заявить,
"to give a short laugh, smile slightly, grin",посміхатися / посміхнутися,усмехаться/усмехнуться,
"to exclaim, cry",вигукувати / вигукнути,восклицать/воскликнуть,
to explain,пояснювати / пояснити,объяснять/объяснить,
"to say, talk",проговаривать / проговорить,проговаривать/проговорить,
to be said,говоритися,говориться,
to invite,запрошувати / запросити,приглашать/пригласить,
"to lie, tell lies",брехати / збрехати,врать/соврать,
"to object, disagree",заперечувати / заперечити,возражать/возразить,
"to transfer, translate",переводити / перевести,переводить/перевести,
"to shout, scream, yell",кричати / закричати,орать/заорать,
"to argue, dispute",сперечатися / посперечатися,спорить/поспорить,
"to call, invite",кликати / покликати,звать/позвать,
"to abuse, reprimand angrily",костити / скостити,костить/скостить,
"to stop talking, to hush up",мовчати / замовкнути,молчать/замолчать,
"to bore, bother, pester",набридати / набриднути,надоедать/надоесть,
