English,Україньска,Русский,Notes
"to go, come",йти / піти,идти/пойти,
"to stand, be, stand up",стояти / постояти,стоять/постоять,
to sit,сидіти / сісти,сидеть/сесть,
to go,йти / піти,идти/пойти,
"to remain, stay",залишатися / залишитися,оставаться/остаться,
"to go out, come out, appear",виходити / вийти,выходить/выйти,
"to lie, be situated",лежати / лягти,лежать/лечь,
to return,повертатися / повернутися,возвращаться/вернуться,
"to go, walk",ходити / піти,ходить/пойти,
"to come, arrive",приходити / прийти,приходить/прийти,
"to leave, go away",йти / піти,уходить/уйти,
to sit,сідати / сісти,садиться/сесть,
"to remain, stay",залишатися / залишитися,оставаться/остаться,
to go out; nurse,виходити / вийти,выходить/выйти,
"to leave, go away",йти / піти,уходить/уйти,
"to approach, come up",підходити / підійти,подходить/подойти,
"to be found, turn up",перебувати / знайтися,находиться/найтись,
"to get up, rise, stand up",вставати / встати,вставать/встать,
"to leave, abandon",залишати / залишити,оставлять/оставить,
"to enter, come in",входити / ввійти,входить/войти,
"to run, hurry",бігти / побігти,бежать/побежать,
"to arrive, come",приїжджати / приїхати,приезжа́ть/прие́хать,
"to go, ride, drive, travel",їхати / поїхати,ехать/поехать,
"to come, arrive",приходити / прийти,приходить/прийти,
"to rise, climb",підніматися / піднятися,подниматься/подняться,
"to depart, set off",їхати / поїхати,ехать/поехать,
"to lay down, put down, place",класти / покласти,класть/положить,
"to pass, go; study",проходити / пройти,проходи́ть/пройти́,
to return,повертатися / повернутися,возвращаться/возвратиться,
"to come, arrive, turn out",виходити / вийти,получаться/получиться,
"to accompany, set off; conduct; spend",проводити / провести,проводить/провести,
to disappear,зникати / зникнути,исчезать/исчезнуть,
to sit down,сідати / сісти,садиться/сесть,
"to come up, approach; to fit",підходити / підійти,подходить/подойти,
"to leave, depart",виїжджати / виїхати,уезжать/уехать,
to turn,повертатися / повернутися,поворачиваться/повернуться,
"to enter, come in",входити / ввійти,входить/войти,
to move,рухатися / рушити,двигаться/двинуться,
to come out,виходити / вийти,получаться/получиться,
"to lead, escort; accompany",проводити / провести,проводить/провести,
"to get up, stand up, rise",вставати / встати,вставать/встать,
"to fall, drop, decline",падати / впасти,падать/упасть,
"to rise, go up, climb, get up",підніматися / піднятися,подниматься/подняться,
"to set off, start, leave, depart",відправлятися / відправитися,отправляться/отправиться,
"to start running, to run",побігти,побежать,
"to throw oneself, rush, jump",кидатися / кинутися,бросаться/броситься,
"to lower, put down, omit",опускати / опустити,опускать/опустить,
to hurry,поспішати / поспішити,спешить/поспешить,
"to run, run about",бігати,бегать,
to lie down,лягати / лягти,ложиться/лечь,
"to come in, drop in, visit",заходити / зайти,заходить/зайти,
"to drive, ride, go, travel",їздити / поїздити,ездить/поездить,
to stop,зупиняти / зупинити,останавливать/остановить,
"to come, set in, step on, attack",наступати / наступити,наступать/наступить,
"to cross, move, pass, transfer",переходити / перейти,переходить/перейти,
"to be lucky, to convery, carry, drive",везти / повезти,везти/повезти,
to turn,повертати / повернути,поворачивать/повернуть,
"to arrive, reach, get there",добиратися / добратися,добираться/добраться,
"to enter, join, act, treat",надходити / надійти,поступать/поступить,
to be in a hurry,поспішати / поквапитися,торопиться/поторопиться,
"to jump out, pop out, come out",вискакувати / вискочити,выскакивать/выскочить,
"to arrive, come",приїжджати / приїхати,приезжать/приехать,
"to drive, roll",котити / покотити,катить/покатить,
"to go for a walk, be outdoors, have time off, enjoy oneself",гуляти / погуляти,гулять/погулять,
"to turn (as in ""turn one's eyes upon smth""), turn into",звертати / звернути,обращать/обратить,
"to go and get, to go down, get off, come off",зійти / сходити,сойти/сходить,
"to come forward, advance, appear, perform",виступати / виступити,выступать/выступить,
"move away, walk away, leave, digress",відходити / відійти,отходить/отойти,
"to begin to climb, to put one's hand into",лізти / полізти,лезть/полезть,
"to reach, arrive, come across",доходити / дійти,доходить/дойти,
"to approach, near",наближатися / наблизитися,приближаться/приблизиться,
"to fly, flutter",літати / полетіти,летать/полететь,
"to move, advance",рухатися / рушити,двигаться/двинуться,
"to come down, descend, land, settle",спускатися / спуститися,спускаться/спуститься,
"to stretch, extend",тягнутися / витягнутися,тянуться/вытянуться,
"to tranport, carry, drive, to be lucky",везти / повезти,везти/повезти,
"to arrive, come",прибувати / прибути,прибывать/прибыть,
"to come down, to go and fetch, descend",сходить / зійти,сходить/сойти,
"to jump, leap, bounce",стрибати / стрибнути,прыгать/прыгнуть,
"to pull, drag, haul",тягти / витягти,тащить/вытащить,
"to stand still, stop",завмирати / завмерти,замирать/замереть,
"to swim, float",плисти / поплисти,плыть/поплыть,
