English,Україньска,Русский,Notes
"to eat, to be",їсти / з'їсти,есть/съесть,
"to do, make",робити / зробити,делать/сделать,
"to do, make, finish",робити / зробити,делать/сделать,
to work,працювати / попрацювати,работать/поработать,
to wait,чекати / почекати,ждать/подождать,
"to find, discover, consider",шукати / знайти,искать/найти,
to write,писати / написати,писать/написать,
"be, visit, happen",бувати / побувати,бывать/побывать,
to read,читати / прочитати,читать/прочитать,
to write,писати / написати,писать/написать,
"to appear, show up",з'являтися / з'явитися,появляться/появиться,
"to show, display",показувати / показати,показывать/показать,
"to lift, raise",піднімати / підняти,поднимать/поднять,
to throw,кидати / кинути,бросать/бросить,
"to send, dispatch",посилати / послати,посылать/послать,
"to put, place, set",ставити / поставити,ставить/поставить,
to play,грати / пограти,играть/поиграть,
"to follow, come next",слідувати / послідувати,следовать/последовать,
to sleep,спати / поспати,спать/поспать,
to search,шукати / знайти,искать/найти,
to open,відкривати / відкрити,открывать/открыть,
to hit; to find oneself,потрапляти / потрапити,попадать/попасть,
to drink,пити / випити,пить/выпить,
"to take away, take off; photograph",знімати / зняти,снимать/снять,
to smile,посміхатися / посміхнутися,улыбаться/улыбнуться,
to laugh,сміятися / посміятися,смеяться/посмеяться,
to kill,вбивати / вбити,убивать/убить,
to drink,випивати / випити,выпивать/выпить,
"to show, display",показувати / показати,показывать/показать,
to bring,приводити / привести,приводить/привести,
to fall,падати / впасти,падать/упасть,
"to beat, hit",бити / побити,бить/побить,
to nod,кивати / кивнути,кивать/кивнуть,
to send,надіслати,слать ,
"to take breath, to sigh",зітхати / зітхнути,вздыхать/вздохнуть,
to sing,співати / заспівати,петь/спеть,
"to stretch, extend",протягнути / протягувати,протянуть/протягивать,
to hang,висіти,висеть,
to carry,нести / понести,нести/понесит,
"to perish, be killed",гинути / загинути,погибать/погибнуть,
to burn,горіти / згоріти,гореть/сгореть,
to fly,летіти,лететь,
to wear,носити / понести,носить/понести,
"to put, place, set",ставити / поставити,ставить/поставить,
"to gather, collect",збиратися / зібратися,собираться/собраться,
to prick,колоти / вколоти,колоть/уколоть,
to shoot,стріляти / стрельнути,стрелять/стрельнуть,
"to take off, to photograph, to rent",знімати / зняти,снимать / снять,
"to strike, hit, beat",ударяти / вдарити,ударять/ударить,
"to seize, grasp, catch",схоплювати / схопити,схватывать/схватить,
to smoke,курити / закурити,курить/закурить,
"to come in, drop in, visit",заходити / зайти,заходить/зайти,
"to close, shut, cover up",закривати / закрити,закрывать/закрыть,
"to be born, arise",народжуватися / народитися,рождаться/родиться,
to wake up,прокидатися / прокинутися,просыпаться/проснуться,
to breathe,дихати,дышать,
to bring,привозити / привезти,привозить/привезти,
to pay,платити / заплатити,платить/заплатить,
"to protrude, stick out, hang about",стирчати,торчать,
to catch,ловити / зловити,ловить/поймать,
"to gather, collect, put together, pack",збирати / зібрати,собирать/собрать,
"to pull, draw, haul",тягнути / потягнути,тянуть/потянуть,
"to throw, fling",кидати / кинути,бросать/бросить,
"to leave, abandon, keep, retain",залишати / залишити,оставлять/оставить,
to tremble,тремтіти,дрожать,
"to turn (as in ""turn one's eyes upon smth""), turn into",звертати / звернути,обращать/обратить,
"to get in, to push, butt in",лізти / полізти,лезть/полезть,
"to send, forward, mail",відправляти / відправити,отправлять/отправить,
"to build, make, construct",будувати / побудувати,строить/построить,
"to raise, pick up",піднімати / підняти,поднимать/поднять,
to marry,одружитися,жениться,
"to build, construct",будувати / побудувати,строить/построить,
"to take out, extract",виймати / вийняти,вынимать/вынуть,
"to mark, note",відзначати / зазначити,отмечать/отметить,
to grow,вирости / підрости, вырасти/ подрасти,
to sting,жалити / вжалити,жалить/ужалить,
"to give, serve",подавати / подати,подавать/подать,
"to wave, flap, flutter",махати / махнути,махать/махнуть,
"to let out, discharge, release",випускати / випустити,выпускать/выпустить,
"to grow, grow up",виростати / вирости,вырастать/вырасти,
to plant,садити / посадити,садить/посадить,
"to hand, give out, distribute",видавати / видати,выдавать/выдать,
"to be at war, to fight",воювати / повоювати,воевать/повоевать,
"to die, pass away",вмирати / померти,умирать/умереть,
to kill,вбивати / вбити,убивать/убить,
"to install, place, mount",встановлювати / встановити,устанавливать/установить,
to eat,їсти / з'їсти,есть/съесть,
"to boil, cook",варити / зварити,варить/сварить,
"to write down, record",записувати / записати,записывать/записать,
"to struggle, fight",боротися / поборотися,бороться/побороться,
to cover,покривати / покрити,покрывать/покрыть,
to bring,приносити / принести,приносить/принести,
"to tap, knock, pound",стукати / постукати,стучать/постучать,
"to change, exchange",змінювати / поміняти,менять/поменять,
"to light up, begin to smoke",закурювати / закурити,закуривать/закурить,
to get tired,втомлюватися / втомитися,уставать/устать,
"to cover, protect, conceal",прикривати / прикрити,прикрывать/прикрыть,
"to bring, acquire, wind up",заводити / завести,заводить/завести,
"to bring down, fall heavily (of snow)",валити / повалити,валить/повалить,
"to take out, lead out, remove, grow",виводити / вивести,выводить/вывести,
"to disappear, vanish",зникати / зникнути,исчезать/исчезнуть,
