English,Україньска,Русский,Notes
"to want, like",хотіти / захотіти,хотеть/захотеть,
"to have, own",мати,мати,
to take,брати / взяти,брать/взять,
"to give; let, allow",давати / дати,давать/дать,
to give,давати / дати,давать/дать,
"to receive, get, obtain",отримувати / отримати,получать/получить,
to take; hire,брати / взяти,брать/взять,
"to take, admit, accept",приймати / прийняти,принимать/принять,
"to buy, purchase",купувати / купити,покупать/купить,
"to snatch, seize; be sufficient",вистачати / вистачити,хватать/хватить,
"to snatch, seize, suffice",вистачати / вистачити,хватать/хватить,
"to take, admin, accept",приймати / прийняти,принимать/принять,
"to reach; get, obtain",діставати / дістати,доставать/достать,
"to return, give back",віддавати / віддати,отдавать/отдать,
"to grant, bestow",жалувати / пожалувати,жаловать/пожаловать,
"to receive, get",отримувати / отримати,получать/получить,
"to have, there is/are",бути,иметься,
to sell,продавати / продати,продавать/продать,
to give (as a present),дарувати / подарувати,дарить/подарить,
"to take away, seize",забирати / забрати,забирать/забрать,
"to take up, occupy, borrow",займати / зайняти,занимать/занять,
"to seize, capture, thrill",захоплювати / захопити,захватывать/захватить,
"to buy, purchase",купувати / купити,покупать/купить,
