English,Україньска,Русский,Notes
to see,бачити / побачити,видеть/увидеть,
"to look, watch, see",дивитися / подивитися,смотреть/посмотреть,
"to take a look, watch, inspect",дивитися / подивитися,смотреть/посмотреть,
"to notice, observe",помічати / помітити,замечать/заметить,
to hear,чути / почути,слышать/услышать,
"to listen, hear",слухати / послухати,слушать/послушать,
"to look, gaze",дивитися / подивитися,глядеть/поглядеть,
"to appear, come in sight",показуватися / показатися,показываться/показаться,
to hear,чути / почути,слышать/услышать,
to look,дивитися,выглядеть ,
to smell,пахнути,пахнуть,
"to notice, perceive, observe, take a note",помічати / помітити,замечать/заметить,
"to watch, spy, follow, keep an eye",стежити,следить,
"to observe, watch, supervise",спостерігати,наблюдать,
"to be heard (as in ""there was a knock [heard] on the door"")",лунати / пролунати,раздаваться/раздаться,
to see,бачити,видать,
to read,читати / прочитати,читать/прочитать,
"to look back, look around",озиратися / озирнутися,оглядываться/оглянуться,
"to look, look at",дивитися / подивитися,глядеть/поглядеть,
"to recognize, acknowledge, admit",визнавати / визнати,признавать/признать,
"to listen to,",слухати / послухати,слушать/послушать,
"to sound, ring",звучати / прозвучати,звучать/прозвучать,
"to look at, consider, regard",розглядати / розглянути,рассматривать/рассмотреть,
to glance,дивитися / глянути,глядеть/глянуть,
to examine,розглядати / розгледіти,разглядывать/разглядеть,
